#Organism/Name,Group,SubGroup,Type,RefSeq,INSDC,Size (Kb),GC%,Protein,rRNA,tRNA,Other RNA,Gene,Pseudogene,Release Date,Modify Date
"Candida metapsilosis MCO448","Fungi","Ascomycetes",mitochondrion,NC_006971.1,AY962591,24.152,25.0911,15,2,24,-,41,-,2005/04/19,2010/02/01
"Candida neerlandica NRRL Y-27057","Fungi","Ascomycetes",mitochondrion,NC_011133.1,EU334437,32.141,24.3801,18,2,24,-,44,-,2008/08/11,2009/02/26
"Candida orthopsilosis MCO456","Fungi","Ascomycetes",mitochondrion,NC_006972.1,AY962590,22.528,25.0355,15,2,24,-,41,-,2005/04/19,2010/02/01
"Candida oxycetoniae AS2.3656","Fungi","Ascomycetes",mitochondrion,NC_022162.1,KC993187,62.593,25.9326,25,2,24,-,51,-,2013/08/27,2013/08/27
"Candida parapsilosis CBS 7157 (SR 23)","Fungi","Ascomycetes",mitochondrion,NC_005253.2,X74411,32.745,23.8204,20,2,24,-,43,-,2003/12/03,2016/07/21
"Candida phangngaensis","Fungi","Ascomycetes",mitochondrion,NC_016126.1,FR877634,28.017,22.7755,15,2,25,-,43,2,2011/10/16,2016/07/07
"Candida prachuapensis WB15","Fungi","Ascomycetes",mitochondrion,NC_022435.1,KF214632,90.84,22.3228,18,2,25,-,44,-,2013/09/24,2013/09/24
"Candida pseudojiufengensis AS2.3693","Fungi","Ascomycetes",mitochondrion,NC_022156.1,KC993179,33.625,27.7829,16,2,24,-,42,-,2013/08/27,2013/08/27
"Candida sake CBS 159","Fungi","Ascomycetes",mitochondrion,NC_022168.1,KC993194,26.205,25.7355,17,2,25,-,44,-,2013/08/27,2013/08/27
"Candida santjacobensis CBS 8183","Fungi","Ascomycetes",mitochondrion,NC_022155.1,KC993178,64.525,25.5529,17,2,26,-,45,-,2013/08/27,2013/08/27
"Candida saraburiensis KU-Xs13","Fungi","Ascomycetes",mitochondrion,NC_022152.1,KC993174,32.135,25.7943,18,2,25,-,45,-,2013/08/27,2013/08/27
"Candida sojae CBS 7871","Fungi","Ascomycetes",mitochondrion,NC_013839.1,EF468347,39.415,29.0981,21,3,29,-,53,-,2010/02/16,2010/07/07
"Candida subhashii FR 392","Fungi","Ascomycetes",mitochondrion,NC_014337.1,GU126492,29.795,52.6699,17,2,24,-,43,-,2010/07/27,2010/08/21
"Candida tetrigidarum NRRL Y-48142","Fungi","Ascomycetes",mitochondrion,NC_022157.1,KC993180,52.426,28.1559,15,2,25,-,42,-,2013/08/27,2013/08/27
"Candida theae G-17","Fungi","Ascomycetes",mitochondrion,NC_022169.1,KC993195,26.234,24.251,17,2,24,-,43,-,2013/08/27,2013/08/27
"Candida tropicalis CBS 94","Fungi","Ascomycetes",mitochondrion,NC_022160.1,KC993185,54.61,36.9529,18,2,24,-,44,-,2013/08/27,2013/09/06
"Candida viswanathii CBS4024","Fungi","Ascomycetes",mitochondrion,NC_013809.1,EF536359,39.242,26.2474,17,2,25,-,45,1,2010/02/16,2010/07/07
"[Candida] castellii CBS 4332","Fungi","Ascomycetes",mitochondrion,NC_012620.1,FM995165,50.294,12.5761,8,2,23,-,33,-,2009/04/26,2009/05/07
"[Candida] glabrata ATCC 2001","Fungi","Ascomycetes",mitochondrion,NC_004691.1,AJ511533,20.063,17.6444,11,2,23,1,37,-,2003/04/07,2010/02/01
"[Candida] intermedia CBS 141442","Fungi","Ascomycetes",mitochondrion,-,LT635763,21.871,27.3056,3,-,-,-,5,-,2016/11/25,2016/11/25
"[Candida] intermedia PYCC 4715","Fungi","Ascomycetes",mitochondrion,-,LT635771,22.057,27.4199,3,-,-,-,5,-,2016/11/25,2016/11/25
"[Candida] norvegica CBS 2874","Fungi","Ascomycetes",mitochondrion,NC_022175.1,KF017573,42.18,17.5984,21,2,24,1,48,-,2013/08/27,2013/08/27
"[Candida] vartiovaarae CBS 4289","Fungi","Ascomycetes",mitochondrion,NC_022164.1,KC993190,33.201,20.918,18,2,25,1,46,-,2013/08/27,2013/08/27
"Candidia pingtungensis","Animals","Fishes",mitochondrion,NC_028596.1,KT725246,16.612,43.2699,13,2,22,-,37,-,2015/12/03,2015/12/07
"Canis anthus","Animals","Mammals",mitochondrion,NC_027956.1,KT378605,16.721,39.7584,13,2,22,-,37,-,2015/10/07,2015/10/14
"Canis latrans","Animals","Mammals",mitochondrion,NC_008093.1,DQ480509,16.724,39.6556,13,2,22,-,13,-,2006/06/07,2009/04/14
"Canis lupus","Animals","Mammals",mitochondrion,NC_008092.1,DQ480505,16.729,39.6736,13,2,22,-,13,-,2006/06/07,2009/04/14
"Canis lupus chanco","Animals","Mammals",mitochondrion,NC_010340.2,EU442884,16.774,39.746,13,2,22,-,13,-,2008/02/12,2009/04/15
"Canis lupus familiaris","Animals","Mammals",mitochondrion,NC_002008.4,U96639,16.727,39.6545,13,2,22,-,13,-,1999/08/24,2009/04/14
"Canis lupus laniger","Animals","Mammals",mitochondrion,NC_011218.2,FJ032363,16.723,39.7178,13,2,22,-,13,-,2008/10/01,2009/07/29
"Canis lupus lupus","Animals","Mammals",mitochondrion,NC_009686.1,AM711902,16.757,39.6133,13,2,22,-,36,-,2007/07/24,2009/04/15
"Cannabis sativa","Plants","Land Plants",chloroplast,NC_026562.1,KP274871,153.871,36.6703,86,8,37,-,139,8,2015/04/22,2016/02/11
"Cannabis sativa","Plants","Land Plants",mitochondrion,NC_029855.1,KU310670,415.602,45.5741,35,3,15,-,55,2,2016/04/12,2016/04/12
"Cantharellus cibarius","Fungi","Basidiomycetes",mitochondrion,NC_020368.1,KC573037,58.656,26.8157,33,2,26,-,61,-,2013/02/25,2013/03/04
"Cantherhines pardalis","Animals","Fishes",mitochondrion,NC_011325.1,AP009184,16.426,45.2636,13,2,22,-,13,-,2008/10/03,2011/08/01
"Canthidermis maculata","Animals","Fishes",mitochondrion,NC_011935.1,AP009206,16.524,44.7349,13,2,22,-,13,-,2009/01/22,2009/02/06
"Canthigaster coronata","Animals","Fishes",mitochondrion,NC_010978.1,AP006743,16.446,46.4976,13,2,22,-,13,-,2008/06/13,2009/05/14
"Canthigaster jactator","Animals","Fishes",mitochondrion,NC_015372.1,AP011911,16.513,45.5823,13,2,22,-,12,-,2011/04/05,2011/04/29
"Canthigaster rivulata","Animals","Fishes",mitochondrion,NC_010979.1,AP006744,16.446,45.3788,13,2,22,-,13,-,2008/06/13,2009/05/14
"Canthigaster valentini","Animals","Fishes",mitochondrion,NC_015337.1,AP011912,16.452,46.2436,13,2,22,-,12,-,2011/04/05,2011/04/29
"Canthophrys gongota","Animals","Fishes",mitochondrion,NC_031576.1,AP011289,16.561,43.3066,13,2,22,-,37,-,2016/10/21,2016/11/17
"Caperea marginata","Animals","Mammals",mitochondrion,NC_005269.1,AJ554052,16.383,39.5227,13,2,22,-,13,-,2003/12/05,2010/02/01
"Capillipedium venustum","Plants","Land Plants",chloroplast,NC_030622.1,KU291493,138.257,38.5102,83,8,38,-,129,-,2016/07/13,2016/07/13
"Capitulum mitella","Animals","Other Animals",mitochondrion,NC_008742.1,AY514042,14.915,34.6966,13,2,22,-,13,-,2007/01/04,2011/01/07
"Capoeta aculeata","Animals","Fishes",mitochondrion,NC_031549.1,AP011240,16.602,43.6152,13,2,22,-,37,-,2016/10/21,2016/11/17
"Capoeta damascina","Animals","Fishes",mitochondrion,NC_031522.1,AP011183,16.608,44.1835,13,2,22,-,37,-,2016/10/21,2016/11/17
"Capra aegagrus","Animals","Mammals",mitochondrion,NC_028161.1,KT290893,16.625,39.1278,13,2,22,-,37,-,2015/11/01,2015/11/17
"Capra caucasica","Animals","Mammals",mitochondrion,NC_020683.1,JN632609,16.624,39.2806,13,2,22,-,13,-,2013/04/04,2013/04/17
"Capra falconeri","Animals","Mammals",mitochondrion,NC_020622.1,FJ207525,16.64,39.2248,13,2,22,-,13,-,2013/03/25,2013/04/18
"Capra hircus","Animals","Mammals",mitochondrion,NC_005044.2,GU295658,16.643,39.1276,13,2,22,-,13,-,2003/07/26,2011/01/05
"Capra ibex","Animals","Mammals",mitochondrion,NC_020623.1,FJ207526,16.716,39.5729,13,2,22,-,13,-,2013/03/25,2013/04/18
"Capra nubiana","Animals","Mammals",mitochondrion,NC_020624.1,FJ207527,16.705,39.4313,13,2,22,-,13,-,2013/03/25,2013/04/18
"Capra pyrenaica","Animals","Mammals",mitochondrion,NC_020625.1,FJ207528,16.561,39.6353,13,2,22,-,13,-,2013/03/25,2013/04/18
"Capra sibirica","Animals","Mammals",mitochondrion,NC_020626.1,FJ207529,16.583,39.6611,13,2,22,-,13,-,2013/03/25,2013/04/18
"Caprella mutica","Animals","Other Animals",mitochondrion,NC_014492.1,GU130250,15.427,32.0477,13,2,22,-,13,-,2010/09/14,2010/09/17
"Caprella scaura","Animals","Other Animals",mitochondrion,NC_014687.1,AB539699,15.079,33.5699,13,2,22,-,13,-,2010/11/18,2010/12/06
"Capreolus capreolus","Animals","Mammals",mitochondrion,NC_020684.1,JN632610,16.358,36.5387,13,2,22,-,13,-,2013/03/25,2013/04/17
"Capreolus pygargus","Animals","Mammals",mitochondrion,NC_025271.1,KJ681492,16.357,36.5104,13,2,22,-,13,-,2014/10/23,2015/06/10
"Capricornis crispus","Animals","Mammals",mitochondrion,NC_012096.1,AP003429,16.453,39.7131,13,2,22,-,13,-,2009/02/24,2009/03/05
"Capricornis milneedwardsii","Animals","Mammals",mitochondrion,NC_023457.1,KF856568,16.444,39.7105,13,2,22,-,13,-,2014/02/13,2014/02/27
"Capricornis sp. YZ-2016","Animals","Mammals",mitochondrion,NC_030179.1,KU605671,16.441,39.7543,13,2,22,-,37,-,2016/05/19,2016/05/31
"Capricornis sumatraensis","Animals","Mammals",mitochondrion,NC_020629.1,FJ207534,16.441,39.7239,13,2,22,-,13,-,2013/03/25,2013/04/18
"Capricornis swinhoei","Animals","Mammals",mitochondrion,NC_010640.1,EF558665,16.524,39.9964,13,2,22,-,13,-,2008/05/01,2012/05/24
"Caprimulgus indicus","Animals","Birds",mitochondrion,NC_025773.1,KM272749,17.536,46.1793,13,2,22,-,13,-,2014/11/26,2014/12/15
"Capros aper","Animals","Fishes",mitochondrion,NC_010958.1,AP009159,15.976,43.7782,13,2,22,-,13,-,2008/06/13,2008/06/23
"Capsella bursa-pastoris JO22","Plants","Land Plants",chloroplast,NC_009270.1,AP009371,154.49,36.5545,85,8,37,-,130,-,2007/04/03,2010/03/26
"Capsella grandiflora","Plants","Land Plants",chloroplast,NC_028517.1,KR029092,154.638,36.5447,85,8,37,-,130,-,2015/12/03,2015/12/03
"Capsella rubella","Plants","Land Plants",chloroplast,NC_027693.1,KR029093,154.601,36.5425,84,8,37,-,130,1,2015/08/04,2015/08/04
"Capsicum annuum","Plants","Land Plants",chloroplast,NC_018552.1,JX270811,156.781,37.7252,86,8,38,-,135,2,2012/09/14,2012/09/14
"Capsicum annuum","Plants","Land Plants",mitochondrion,NC_024624.1,KJ865410,511.53,44.5247,193,3,25,-,221,-,2014/09/03,2014/09/03
"Capsicum chacoense","Plants","Land Plants",chloroplast,NC_033525.1,KX913218,156.995,37.6757,87,8,37,-,132,-,2017/01/26,2017/01/26
"Capsicum chinense","Plants","Land Plants",chloroplast,NC_030543.1,KU041709,156.807,37.7279,86,8,38,-,134,2,2016/07/13,2016/07/13
"Capsicum eximium","Plants","Land Plants",chloroplast,NC_033527.1,KX913220,156.947,37.7229,87,8,37,-,132,-,2017/01/26,2017/01/26
"Capsicum frutescens","Plants","Land Plants",chloroplast,NC_028007.1,KR078312,156.817,37.721,86,8,37,-,131,-,2015/10/08,2015/10/08
"Capsicum galapagoense","Plants","Land Plants",chloroplast,NC_033524.1,KX913216,156.959,37.7149,87,8,37,-,132,-,2017/01/26,2017/01/26
"Capsicum lycianthoides","Plants","Land Plants",chloroplast,NC_026551.1,KP274856,156.583,37.7557,83,8,36,-,130,3,2015/04/22,2015/04/22
"Capsicum tovarii","Plants","Land Plants",chloroplast,NC_033526.1,KX913219,156.816,37.7213,87,8,37,-,132,-,2017/01/26,2017/01/26
"Caracal caracal","Animals","Mammals",mitochondrion,NC_028306.1,KP202272,16.859,39.3677,13,2,22,-,37,-,2015/11/05,2015/11/17
"Caragana microphylla","Plants","Land Plants",chloroplast,NC_032691.1,KX289922,130.029,34.2624,76,4,31,-,111,-,2017/01/05,2017/01/05
"Carangoides armatus","Animals","Fishes",mitochondrion,NC_004405.1,AP004444,16.556,45.4639,13,2,22,-,13,-,2002/11/18,2006/10/18
"Carangoides equula","Animals","Fishes",mitochondrion,NC_025644.1,KM201334,16.588,48.3663,13,2,22,-,13,-,2014/11/14,2014/12/15
"Carangoides malabaricus","Animals","Fishes",mitochondrion,NC_023968.1,KJ174514,16.561,46.0178,13,2,22,-,13,-,2014/04/09,2014/05/01
"Caranx ignobilis Hawaiian Islands","Animals","Fishes",mitochondrion,NC_022932.1,KF649842,16.588,45.3521,13,2,22,-,13,-,2013/11/27,2013/12/19
"Caranx melampygus","Animals","Fishes",mitochondrion,NC_004406.1,AP004445,16.593,44.7719,13,2,22,-,13,-,2002/11/18,2006/10/18
"Caranx tille","Animals","Fishes",mitochondrion,NC_029421.1,KT805946,16.593,44.79,13,2,22,-,37,-,2016/03/01,2016/03/10
"Carapus bermudensis","Animals","Fishes",mitochondrion,NC_004373.1,AP004404,16.613,50.7133,13,2,22,-,13,-,2002/11/18,2007/07/27
"Carassioides acuminatus","Animals","Fishes",mitochondrion,NC_031430.1,KX602324,16.579,41.9808,13,2,22,-,37,-,2016/10/13,2016/10/21
"Carassius auratus","Animals","Fishes",mitochondrion,NC_002079.1,AB006953,16.578,42.5624,13,2,22,-,13,-,1999/08/24,2010/02/01
"Carassius auratus auratus Wakin","Animals","Fishes",mitochondrion,NC_006580.1,AB111951,16.58,42.3462,13,2,22,-,13,-,2004/12/31,2010/02/01
"Carassius auratus x Cyprinus carpio","Animals","Fishes",mitochondrion,NC_006136.1,AY694420,16.58,42.2497,13,2,22,-,13,-,2004/08/13,2010/02/01
"Carassius auratus x Cyprinus carpio x Carassius cuvieri","Animals","Fishes",mitochondrion,NC_006387.1,AY771781,16.581,42.2472,13,2,22,-,13,-,2004/11/04,2010/02/01
"Carassius auratus x Megalobrama amblycephala pentaploid hybrid","Animals","Fishes",mitochondrion,NC_013433.1,GQ903707,16.58,42.4306,13,2,22,-,13,-,2009/10/22,2009/10/29
"Carassius auratus x Megalobrama amblycephala tetraploid hybrid","Animals","Fishes",mitochondrion,NC_013430.1,GQ903705,16.58,42.2376,13,2,22,-,13,-,2009/10/22,2009/10/29
"Carassius auratus x Megalobrama amblycephala triploid hybrid","Animals","Fishes",mitochondrion,NC_013431.1,GQ903706,16.58,42.2738,13,2,22,-,13,-,2009/10/22,2009/10/29
"Carassius carassius","Animals","Fishes",mitochondrion,NC_006291.1,AY714387,16.58,42.2437,13,2,22,-,13,-,2004/09/17,2010/02/01
"Carassius cuvieri","Animals","Fishes",mitochondrion,NC_010768.1,AB045144,16.581,42.4341,13,2,22,-,13,-,2008/05/28,2012/09/20
"Carassius gibelio","Animals","Fishes",mitochondrion,NC_014177.1,GU170401,16.581,42.2472,13,2,22,-,13,-,2010/05/27,2016/06/10
"Carcharhinus acronotus","Animals","Fishes",mitochondrion,NC_024055.1,KF728380,16.719,38.3516,13,2,22,-,13,-,2014/05/02,2014/06/11
"Carcharhinus amblyrhynchoides","Animals","Fishes",mitochondrion,NC_023948.1,KF956523,16.705,38.2101,13,2,22,-,13,-,2014/04/09,2014/05/01
"Carcharhinus amboinensis","Animals","Fishes",mitochondrion,NC_026696.1,KM921745,16.704,38.0029,13,2,22,-,13,-,2015/03/17,2015/04/22
"Carcharhinus brevipinna","Animals","Fishes",mitochondrion,NC_027081.1,KM244770,16.706,38.5251,13,2,22,-,37,-,2015/05/14,2015/06/02
"Carcharhinus leucas","Animals","Fishes",mitochondrion,NC_023522.1,KF646785,16.704,37.4341,13,2,22,-,13,-,2014/02/28,2014/04/16
"Carcharhinus longimanus","Animals","Fishes",mitochondrion,NC_025520.1,KM434158,16.706,38.5011,13,2,22,-,13,-,2014/11/14,2015/07/27
"Carcharhinus macloti","Animals","Fishes",mitochondrion,NC_024862.1,KJ865755,16.701,39.2012,13,2,22,-,13,-,2014/09/17,2014/09/17
"Carcharhinus melanopterus","Animals","Fishes",mitochondrion,NC_024284.1,KJ720818,16.706,38.6508,13,2,22,-,13,-,2014/06/11,2014/07/02
"Carcharhinus obscurus","Animals","Fishes",mitochondrion,NC_020611.1,KC470543,16.706,38.561,13,2,22,-,13,-,2013/03/25,2014/01/14
"Carcharhinus plumbeus","Animals","Fishes",mitochondrion,NC_024596.1,KJ740750,16.706,38.8603,13,2,22,-,13,-,2014/07/28,2014/08/28
"Carcharhinus sorrah","Animals","Fishes",mitochondrion,NC_023521.1,KF612341,16.707,38.9477,13,2,22,-,13,-,2014/02/28,2014/04/16
"Carcharhinus tjutjot","Animals","Fishes",mitochondrion,NC_026871.1,KP091436,16.705,39.4133,13,2,22,-,37,-,2015/04/22,2015/06/02
"Carcharias taurus","Animals","Fishes",mitochondrion,NC_023520.1,KF569943,16.773,39.5099,13,2,22,-,13,-,2014/02/28,2014/04/16
"Carcharodon carcharias","Animals","Fishes",mitochondrion,NC_022415.1,KC914387,16.744,40.7549,13,2,22,-,13,-,2013/09/24,2014/09/17
"Carcinoscorpius rotundicauda","Animals","Other Animals",mitochondrion,NC_019623.1,JQ178358,15.033,26.2489,13,2,22,-,13,-,2012/12/03,2014/06/12
"Cardamine impatiens","Plants","Land Plants",plastid,NC_026445.1,KJ136821,155.611,36.331,85,8,37,-,131,1,2015/04/22,2015/04/22
"Cardamine resedifolia","Plants","Land Plants",plastid,NC_026446.1,KJ136822,155.036,36.2961,85,8,37,-,131,1,2015/04/22,2015/04/22
"Cardinalis cardinalis","Animals","Birds",mitochondrion,NC_025618.1,KM078795,16.779,45.0802,13,2,22,-,13,-,2014/11/14,2014/12/15
"Caretta caretta","Animals","Reptiles",mitochondrion,NC_016923.1,FR694649,16.737,38.7106,13,2,22,-,36,-,2012/02/20,2016/06/28
"Carettochelys insculpta","Animals","Reptiles",mitochondrion,NC_014048.1,FJ862792,16.439,39.8625,13,2,22,-,13,-,2010/04/23,2015/07/27
"Carex siderosticta","Plants","Land Plants",plastid,NC_027250.1,KP751906,195.251,34.0884,82,8,37,-,127,-,2015/06/18,2015/06/18
"Carica papaya","Plants","Land Plants",chloroplast,NC_010323.1,EU431223,160.1,36.8907,84,8,37,-,131,2,2008/02/07,2010/03/26
"Carica papaya","Plants","Land Plants",mitochondrion,NC_012116.1,EU431224,476.89,45.1171,39,3,19,-,61,-,2009/02/24,2011/09/15
"Caridina cf. nilotica HMG-2016","Animals","Other Animals",mitochondrion,NC_030219.1,KU726823,15.497,35.5424,13,2,22,-,37,-,2016/05/23,2017/01/27
"Caridina gracilipes","Animals","Other Animals",mitochondrion,NC_024751.1,KM023648,15.55,36.6367,13,2,22,-,13,-,2014/08/26,2016/04/12
"Carinotetraodon lorteti","Animals","Fishes",mitochondrion,NC_015350.1,AP011918,16.456,46.2871,13,2,22,-,12,-,2011/04/05,2011/04/29
"Carinotetraodon salivator","Animals","Fishes",mitochondrion,NC_015352.1,AP011919,16.437,46.0911,13,2,22,-,12,-,2011/04/05,2011/05/02
"Carissa macrocarpa","Plants","Land Plants",chloroplast,NC_033354.1,KX364402,155.297,38.0381,85,8,37,-,132,2,2017/01/18,2017/01/18
"Carlito syrichta","Animals","Mammals",mitochondrion,NC_012774.1,AB371090,17.004,39.1378,13,2,22,-,13,-,2009/06/04,2009/06/05
"Carludovica palmata","Plants","Land Plants",chloroplast,NC_026786.1,KP462882,158.545,37.7445,86,8,38,-,133,1,2015/04/22,2015/08/04
"Carnegiea gigantea","Plants","Land Plants",chloroplast,NC_027618.1,KT164771,113.064,36.6783,67,4,30,-,107,6,2015/07/23,2015/08/04
"Carollia perspicillata","Animals","Mammals",mitochondrion,NC_022422.1,HG003309,16.711,41.4458,13,2,22,-,37,-,2013/09/12,2013/11/14
"Carpinus putoensis","Plants","Land Plants",chloroplast,NC_033503.1,KX695124,159.673,36.4457,83,8,36,-,128,1,2017/01/26,2017/01/26
"Carpiodes carpio","Animals","Fishes",mitochondrion,NC_005257.1,AY366087,16.611,45.8491,13,2,22,-,13,-,2003/12/03,2010/02/01
"Carpodacus erythrinus","Animals","Birds",mitochondrion,NC_025597.1,KM078766,16.82,45.9988,13,2,22,-,13,-,2014/11/14,2014/12/15
"Carpodacus roseus","Animals","Birds",mitochondrion,NC_025607.1,KM078779,16.796,45.6299,13,2,22,-,13,-,2014/11/14,2014/12/15
"Carposina sasakii","Animals","Insects",mitochondrion,NC_023212.1,HQ840719,15.611,18.4998,13,2,22,-,13,-,2014/01/02,2014/01/14
"Carrhotus xanthogramma","Animals","Other Animals",mitochondrion,NC_027492.1,KP402247,14.563,24.9468,13,2,22,-,37,-,2015/07/14,2015/07/27
"Carteria cerasiformis","Plants","Green Algae",chloroplast,NC_028585.1,KT625420,318.967,38.1102,78,6,29,-,113,-,2015/12/03,2015/12/03
"Carterocephalus silvicola","Animals","Insects",mitochondrion,NC_024646.1,KJ629163,15.765,19.7019,13,2,22,-,13,-,2014/08/06,2014/08/29
"Carthamus tinctorius","Plants","Land Plants",chloroplast,NC_030783.1,KM207677,153.114,37.7869,84,8,38,-,130,-,2016/08/16,2016/08/16
"Carum carvi","Plants","Land Plants",chloroplast,NC_029889.1,KR048286,155.449,37.7699,80,8,35,-,128,5,2016/04/12,2016/04/12
"Caryanda sp. ZH-2016","Animals","Insects",mitochondrion,NC_030165.1,KU375571,15.445,24.7264,13,2,22,-,37,-,2016/05/19,2016/05/31
"Caryota mitis","Plants","Land Plants",plastid,NC_029948.1,KT312915,159.819,37.1001,86,8,38,-,133,1,2016/04/20,2016/04/20
"Cassiopea frondosa","Animals","Other Animals",mitochondrion,NC_016466.1,JN700936,15.949,29.0677,15,2,2,-,19,-,2011/12/20,2012/05/09
"Castanea mollissima","Plants","Land Plants",chloroplast,NC_014674.1,HQ336406,160.799,36.7639,83,8,37,-,130,2,2010/12/02,2011/01/06
"Castanopsis concinna","Plants","Land Plants",chloroplast,NC_033409.1,KT793041,160.606,36.8031,82,8,46,-,136,-,2017/01/18,2017/01/18
"Castanopsis echinocarpa","Plants","Land Plants",chloroplast,NC_023801.1,KJ001129,160.647,36.7346,84,8,40,-,132,-,2014/03/20,2014/03/20
"Castilleja paramensis","Plants","Land Plants",plastid,NC_031805.1,KT959111,152.926,38.1904,84,8,37,-,133,4,2016/11/14,2017/01/26
"Castilleja paramensis","Plants","Land Plants",mitochondrion,NC_031806.1,KT959112,495.499,43.5204,34,3,29,-,68,2,2016/11/14,2017/01/26
"Castor fiber","Animals","Mammals",mitochondrion,NC_028625.1,FR691687,16.722,40.9819,12,2,22,-,36,-,2011/02/03,2015/12/09
"Casuarius casuarius","Animals","Birds",mitochondrion,NC_002778.2,AF338713,16.756,44.2349,13,2,22,-,13,-,2001/05/15,2010/02/01
"Cataetyx rubrirostris","Animals","Fishes",mitochondrion,NC_004375.1,AP004407,16.495,48.8997,13,2,22,-,13,-,2002/11/18,2006/10/04
"Catharanthus roseus","Plants","Land Plants",chloroplast,NC_021423.1,KC561139,154.95,38.091,87,8,37,-,134,2,2013/06/10,2013/08/06
"Cathartes aura","Animals","Birds",mitochondrion,NC_007628.1,AY463690,16.779,45.7238,13,2,22,-,13,-,2005/12/07,2009/04/15
"Cathaya argyrophylla","Plants","Land Plants",chloroplast,NC_014589.1,AB547400,107.122,38.7829,70,4,32,-,110,4,2010/10/20,2010/10/20
"Catla catla","Animals","Fishes",mitochondrion,NC_016892.1,JQ087872,16.59,43.2429,13,2,22,-,13,-,2012/02/15,2012/02/27
"Catlocarpio siamensis","Animals","Fishes",mitochondrion,NC_031523.1,AP011184,16.549,43.6522,13,2,22,-,37,-,2016/10/21,2016/11/17
"Catopsilia pomona","Animals","Insects",mitochondrion,NC_022687.1,JX274649,15.142,18.7095,13,2,22,-,13,-,2013/11/03,2015/04/01
"Catopuma badia","Animals","Mammals",mitochondrion,NC_028300.1,KP202256,16.693,39.5315,13,2,22,-,37,-,2015/11/05,2015/11/17
"Catopuma temminckii","Animals","Mammals",mitochondrion,NC_027115.1,KP271500,16.985,39.7409,13,2,22,-,37,-,2015/05/14,2015/06/02
"Catostomus commersonii","Animals","Fishes",mitochondrion,NC_008647.1,AB127394,16.625,42.9293,13,2,22,-,13,-,2006/12/12,2007/05/02
"Cattleya crispata","Plants","Land Plants",chloroplast,NC_026568.1,KP168671,148.343,37.2677,78,8,39,-,138,13,2015/03/27,2015/03/27
"Cattleya liliputana","Plants","Land Plants",chloroplast,NC_032083.1,KP202881,147.092,37.3515,78,8,39,-,137,12,2016/12/07,2016/12/07
"Caulerpa cliftonii","Plants","Green Algae",chloroplast,NC_031368.1,KX808498,131.135,37.6353,111,3,28,-,142,-,2016/10/13,2016/10/13
"Caulerpa racemosa","Plants","Green Algae",chloroplast,NC_032042.1,KT946602,176.522,33.6389,91,3,27,-,122,1,2016/12/07,2016/12/07
"Caulophryne jordani","Animals","Fishes",mitochondrion,NC_004383.1,AP004417,16.657,50.9816,13,2,22,-,13,-,2002/11/18,2016/06/21
"Caulophryne pelagica","Animals","Fishes",mitochondrion,NC_016020.1,AB282836,16.649,50.4775,13,2,22,-,13,-,2011/09/23,2016/06/28
"Causus defilippii","Animals","Reptiles",mitochondrion,NC_013479.1,GU045452,17.342,40.5086,13,2,22,-,13,-,2009/11/09,2009/11/23
"Cavariella salicicola","Animals","Insects",mitochondrion,NC_022682.1,KC332935,16.317,16.0936,13,2,22,-,13,-,2013/11/03,2013/12/18
"Cavia porcellus","Animals","Mammals",mitochondrion,NC_000884.1,AJ222767,16.801,39.3131,13,2,22,-,13,-,1999/08/25,2010/02/01
"Cebus albifrons","Animals","Mammals",mitochondrion,NC_002763.1,AJ309866,16.554,39.0842,13,2,22,-,13,-,2001/05/01,2010/02/01
"Cecropis daurica","Animals","Birds",mitochondrion,NC_024107.1,KJ499911,17.949,46.4538,13,2,22,-,13,-,2014/05/14,2014/05/14
"Cedrus deodara","Plants","Land Plants",chloroplast,NC_014575.1,AB480043,119.299,39.1445,75,4,35,-,115,1,2010/10/20,2010/10/20
"Celaenorrhinus maculosa","Animals","Insects",mitochondrion,NC_022853.1,KF543077,15.282,20.1283,13,2,22,-,13,-,2013/11/19,2013/12/18
"Celastrina hersilia","Animals","Insects",mitochondrion,NC_018049.1,HM243589,15.302,18.5466,13,2,22,-,13,-,2012/06/13,2012/07/02
"Celleporella hyalina","Animals","Other Animals",mitochondrion,NC_018344.1,JQ839275,17.265,28.3406,13,2,22,-,13,-,2012/08/10,2012/12/21
"Cenchrus americanus","Plants","Land Plants",plastid,NC_024171.1,-,140.718,38.521,88,8,40,-,136,-,2014/06/09,2015/06/03
"Centaurea diffusa","Plants","Land Plants",chloroplast,NC_024286.1,KJ690264,152.559,37.731,90,8,36,-,135,1,2014/06/11,2014/06/11
"Centotheca lappacea","Plants","Land Plants",plastid,NC_025229.1,KJ920225,139.464,38.6207,85,8,39,-,131,-,2014/10/04,2015/08/04
"Centromochlus perugiae","Animals","Fishes",mitochondrion,NC_015748.1,AP012024,16.677,42.7415,13,2,22,-,13,-,2011/07/06,2016/06/10
"Centropodia glauca","Plants","Land Plants",plastid,NC_029411.1,KT168383,134.565,38.4246,85,8,39,-,132,-,2016/03/01,2016/03/01
"Centropyge acanthops","Animals","Fishes",mitochondrion,NC_028717.1,KR870990,16.748,46.4175,13,2,22,-,37,-,2015/12/17,2016/02/11
"Centropyge bispinosa","Animals","Fishes",mitochondrion,NC_028287.1,KP013100,16.772,47.1917,13,2,22,-,37,-,2015/11/05,2015/11/17
